reference version,updated version,reference model date,updated model date,delta date (days),incoming time,outgoing time,SMT solver,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
0_9_7eTLS10,0_9_7eTLS10,2004-10-25,2004-10-25,0,0.08586812019348145,0.11825156211853027,cvc4,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7eTLS10,0_9_7eTLS10,2004-10-25,2004-10-25,0,0.0402827262878418,0.09003853797912598,msat,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7eTLS10,0_9_7eTLS10,2004-10-25,2004-10-25,0,0.10038208961486816,0.31366848945617676,yices,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7eTLS10,0_9_7eTLS10,2004-10-25,2004-10-25,0,0.08786249160766602,0.3368818759918213,z3,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7eTLS10,0_9_7TLS10,2004-10-25,2002-06-01,877,0.0645599365234375,0.1662461757659912,cvc4,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7eTLS10,0_9_7TLS10,2004-10-25,2002-06-01,877,0.05453372001647949,0.12321734428405762,msat,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7eTLS10,0_9_7TLS10,2004-10-25,2002-06-01,877,0.026972055435180664,0.08115243911743164,yices,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7eTLS10,0_9_7TLS10,2004-10-25,2002-06-01,877,0.03175830841064453,0.0867452621459961,z3,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7eTLS10,0_9_8lTLS10,2004-10-25,2009-11-05,-1837,0.044641971588134766,0.09882616996765137,cvc4,0.8821548821548821,0.9225352112676056,0.8451612903225807,15,155,11,111,15,166
0_9_7eTLS10,0_9_8lTLS10,2004-10-25,2009-11-05,-1837,0.02873373031616211,0.07995104789733887,msat,0.8821548821548821,0.9225352112676056,0.8451612903225807,15,155,11,111,15,166
0_9_7eTLS10,0_9_8lTLS10,2004-10-25,2009-11-05,-1837,0.02195119857788086,0.07091617584228516,yices,0.8821548821548821,0.9225352112676056,0.8451612903225807,15,155,11,111,15,166
0_9_7eTLS10,0_9_8lTLS10,2004-10-25,2009-11-05,-1837,0.02360391616821289,0.0833132266998291,z3,0.8821548821548821,0.9225352112676056,0.8451612903225807,15,155,11,111,15,166
0_9_7eTLS10,0_9_8sTLS10,2004-10-25,2012-01-04,-2627,0.07262587547302246,0.14893865585327148,cvc4,0.987012987012987,0.9934640522875817,0.9806451612903225,15,155,12,122,15,156
0_9_7eTLS10,0_9_8sTLS10,2004-10-25,2012-01-04,-2627,0.04595232009887695,0.14940571784973145,msat,0.987012987012987,0.9934640522875817,0.9806451612903225,15,155,12,122,15,156
0_9_7eTLS10,0_9_8sTLS10,2004-10-25,2012-01-04,-2627,0.029178142547607422,0.13796281814575195,yices,0.987012987012987,0.9934640522875817,0.9806451612903225,15,155,12,122,15,156
0_9_7eTLS10,0_9_8sTLS10,2004-10-25,2012-01-04,-2627,0.04081153869628906,0.1310741901397705,z3,0.987012987012987,0.9934640522875817,0.9806451612903225,15,155,12,122,15,156
0_9_7eTLS10,0_9_8uTLS10,2004-10-25,2012-03-12,-2695,0.05970621109008789,0.11628460884094238,cvc4,0.9935483870967742,0.9935483870967742,0.9935483870967742,15,155,15,155,15,156
0_9_7eTLS10,0_9_8uTLS10,2004-10-25,2012-03-12,-2695,0.03944683074951172,0.08710789680480957,msat,0.9935483870967742,0.9935483870967742,0.9935483870967742,15,155,15,155,15,156
0_9_7eTLS10,0_9_8uTLS10,2004-10-25,2012-03-12,-2695,0.03294539451599121,0.07588028907775879,yices,0.9935483870967742,0.9935483870967742,0.9935483870967742,15,155,15,155,15,156
0_9_7eTLS10,0_9_8uTLS10,2004-10-25,2012-03-12,-2695,0.030472755432128906,0.08357501029968262,z3,0.9935483870967742,0.9935483870967742,0.9935483870967742,15,155,15,155,15,156
0_9_7eTLS10,0_9_8yTLS10,2004-10-25,2013-02-04,-3024,0.05779409408569336,0.1769564151763916,cvc4,0.9870967741935484,0.9870967741935484,0.9870967741935484,15,155,15,155,15,157
0_9_7eTLS10,0_9_8yTLS10,2004-10-25,2013-02-04,-3024,0.04099273681640625,0.09984278678894043,msat,0.9870967741935484,0.9870967741935484,0.9870967741935484,15,155,15,155,15,157
0_9_7eTLS10,0_9_8yTLS10,2004-10-25,2013-02-04,-3024,0.04139208793640137,0.12778449058532715,yices,0.9870967741935484,0.9870967741935484,0.9870967741935484,15,155,15,155,15,157
0_9_7eTLS10,0_9_8yTLS10,2004-10-25,2013-02-04,-3024,0.030964374542236328,0.0838770866394043,z3,0.9870967741935484,0.9870967741935484,0.9870967741935484,15,155,15,155,15,157
0_9_7eTLS10,0_9_8zaTLS10,2004-10-25,2014-06-05,-3510,0.057462453842163086,0.11334729194641113,cvc4,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,0_9_8zaTLS10,2004-10-25,2014-06-05,-3510,0.04935765266418457,0.1258249282836914,msat,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,0_9_8zaTLS10,2004-10-25,2014-06-05,-3510,0.026332616806030273,0.07676219940185547,yices,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,0_9_8zaTLS10,2004-10-25,2014-06-05,-3510,0.028913021087646484,0.08036661148071289,z3,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,0_9_8zbTLS10,2004-10-25,2014-08-06,-3572,0.07257342338562012,0.16942620277404785,cvc4,0.9054054054054055,0.950354609929078,0.864516129032258,15,155,12,122,15,162
0_9_7eTLS10,0_9_8zbTLS10,2004-10-25,2014-08-06,-3572,0.06281828880310059,0.21540093421936035,msat,0.9054054054054055,0.950354609929078,0.864516129032258,15,155,12,122,15,162
0_9_7eTLS10,0_9_8zbTLS10,2004-10-25,2014-08-06,-3572,0.027493715286254883,0.11344766616821289,yices,0.9054054054054055,0.950354609929078,0.864516129032258,15,155,12,122,15,162
0_9_7eTLS10,0_9_8zbTLS10,2004-10-25,2014-08-06,-3572,0.050133705139160156,0.12311077117919922,z3,0.9054054054054055,0.950354609929078,0.864516129032258,15,155,12,122,15,162
0_9_7eTLS10,1_0_0pTLS10,2004-10-25,2015-01-08,-3727,0.04924798011779785,0.10154247283935547,cvc4,0.8918918918918919,0.9361702127659575,0.8516129032258064,15,155,12,122,15,164
0_9_7eTLS10,1_0_0pTLS10,2004-10-25,2015-01-08,-3727,0.03361058235168457,0.0849449634552002,msat,0.8918918918918919,0.9361702127659575,0.8516129032258064,15,155,12,122,15,164
0_9_7eTLS10,1_0_0pTLS10,2004-10-25,2015-01-08,-3727,0.0206453800201416,0.07000899314880371,yices,0.8918918918918919,0.9361702127659575,0.8516129032258064,15,155,12,122,15,164
0_9_7eTLS10,1_0_0pTLS10,2004-10-25,2015-01-08,-3727,0.02343606948852539,0.07266640663146973,z3,0.8918918918918919,0.9361702127659575,0.8516129032258064,15,155,12,122,15,164
0_9_7eTLS10,1_0_1dTLS11,2004-10-25,2013-02-04,-3024,0.052483320236206055,0.11141228675842285,cvc4,0.8695652173913044,0.9027777777777778,0.8387096774193549,15,155,14,144,15,169
0_9_7eTLS10,1_0_1dTLS11,2004-10-25,2013-02-04,-3024,0.036914825439453125,0.08979368209838867,msat,0.8695652173913044,0.9027777777777778,0.8387096774193549,15,155,14,144,15,169
0_9_7eTLS10,1_0_1dTLS11,2004-10-25,2013-02-04,-3024,0.027498483657836914,0.15474224090576172,yices,0.8695652173913044,0.9027777777777778,0.8387096774193549,15,155,14,144,15,169
0_9_7eTLS10,1_0_1dTLS11,2004-10-25,2013-02-04,-3024,0.03356814384460449,0.08295679092407227,z3,0.8695652173913044,0.9027777777777778,0.8387096774193549,15,155,14,144,15,169
0_9_7eTLS10,1_0_1kTLS10,2004-10-25,2015-01-08,-3727,0.051193952560424805,0.1600656509399414,cvc4,0.8851351351351351,0.9290780141843972,0.8451612903225807,15,155,12,122,15,165
0_9_7eTLS10,1_0_1kTLS10,2004-10-25,2015-01-08,-3727,0.03492569923400879,0.08728957176208496,msat,0.8851351351351351,0.9290780141843972,0.8451612903225807,15,155,12,122,15,165
0_9_7eTLS10,1_0_1kTLS10,2004-10-25,2015-01-08,-3727,0.022213220596313477,0.0850985050201416,yices,0.8851351351351351,0.9290780141843972,0.8451612903225807,15,155,12,122,15,165
0_9_7eTLS10,1_0_1kTLS10,2004-10-25,2015-01-08,-3727,0.028281450271606445,0.10449004173278809,z3,0.8851351351351351,0.9290780141843972,0.8451612903225807,15,155,12,122,15,165
0_9_7eTLS10,1_0_1TLS11,2004-10-25,2012-01-03,-2626,0.08442234992980957,0.16715216636657715,cvc4,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,1_0_1TLS11,2004-10-25,2012-01-03,-2626,0.05851340293884277,0.09383344650268555,msat,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,1_0_1TLS11,2004-10-25,2012-01-03,-2626,0.02582263946533203,0.08706355094909668,yices,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,1_0_1TLS11,2004-10-25,2012-01-03,-2626,0.03849935531616211,0.10178327560424805,z3,0.94314381270903,0.9791666666666666,0.9096774193548387,15,155,14,144,15,158
0_9_7eTLS10,1_0_2mTLS10,2004-10-25,2017-11-02,-4756,0.036355018615722656,0.08637475967407227,cvc4,0.7680608365019012,0.9351851851851852,0.6516129032258065,15,155,9,89,15,162
0_9_7eTLS10,1_0_2mTLS10,2004-10-25,2017-11-02,-4756,0.027972698211669922,0.07676982879638672,msat,0.7680608365019012,0.9351851851851852,0.6516129032258065,15,155,9,89,15,162
0_9_7eTLS10,1_0_2mTLS10,2004-10-25,2017-11-02,-4756,0.016211271286010742,0.06700491905212402,yices,0.7680608365019012,0.9351851851851852,0.6516129032258065,15,155,9,89,15,162
0_9_7eTLS10,1_0_2mTLS10,2004-10-25,2017-11-02,-4756,0.020355701446533203,0.07346987724304199,z3,0.7680608365019012,0.9351851851851852,0.6516129032258065,15,155,9,89,15,162
0_9_7eTLS10,1_0_2TLS10,2004-10-25,2014-02-24,-3409,0.042142391204833984,0.09181332588195801,cvc4,0.863157894736842,0.9461538461538461,0.7935483870967742,15,155,11,111,15,162
0_9_7eTLS10,1_0_2TLS10,2004-10-25,2014-02-24,-3409,0.028142929077148438,0.07609772682189941,msat,0.863157894736842,0.9461538461538461,0.7935483870967742,15,155,11,111,15,162
0_9_7eTLS10,1_0_2TLS10,2004-10-25,2014-02-24,-3409,0.019171714782714844,0.0666656494140625,yices,0.863157894736842,0.9461538461538461,0.7935483870967742,15,155,11,111,15,162
0_9_7eTLS10,1_0_2TLS10,2004-10-25,2014-02-24,-3409,0.02324819564819336,0.07177472114562988,z3,0.863157894736842,0.9461538461538461,0.7935483870967742,15,155,11,111,15,162
0_9_7eTLS10,1_1_0TLS10,2004-10-25,2015-12-10,-4063,0.03606891632080078,0.0865013599395752,cvc4,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7eTLS10,1_1_0TLS10,2004-10-25,2015-12-10,-4063,0.02592182159423828,0.07406377792358398,msat,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7eTLS10,1_1_0TLS10,2004-10-25,2015-12-10,-4063,0.016358137130737305,0.062267303466796875,yices,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7eTLS10,1_1_0TLS10,2004-10-25,2015-12-10,-4063,0.019286632537841797,0.06660199165344238,z3,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7eTLS10,1_1_1TLS10,2004-10-25,2018-02-13,-4859,0.05028271675109863,0.10463523864746094,cvc4,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7eTLS10,1_1_1TLS10,2004-10-25,2018-02-13,-4859,0.027144432067871094,0.08002662658691406,msat,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
