reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
BitVise,BitVise,cvc4,1,2.174516201019287,3.0931763648986816,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,10,2.1034271717071533,2.6864688396453857,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,2,2.090315580368042,2.6251323223114014,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,3,2.0611748695373535,2.604801893234253,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,4,2.0883216857910156,2.6639888286590576,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,5,2.7634103298187256,3.9234423637390137,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,6,2.610788345336914,3.2496378421783447,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,7,2.146456718444824,2.853402853012085,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,8,2.2563366889953613,2.8466055393218994,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,cvc4,9,2.1145522594451904,2.901005983352661,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,1,1.602431297302246,1.8798737525939941,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,10,1.6064884662628174,1.7749392986297607,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,2,1.6553583145141602,1.7944450378417969,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,3,1.58735990524292,1.7506394386291504,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,4,1.6098392009735107,1.7701313495635986,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,5,2.0688984394073486,2.384686231613159,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,6,1.8514952659606934,2.6346096992492676,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,7,1.642935037612915,1.938542366027832,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,8,1.6703150272369385,1.8568987846374512,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,msat,9,1.6933891773223877,1.853994607925415,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,1,0.7704908847808838,1.1075029373168945,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,10,0.7446949481964111,0.885706901550293,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,2,0.7213201522827148,0.879263162612915,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,3,0.722578763961792,0.8935470581054688,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,4,0.8256485462188721,1.1209964752197266,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,5,0.7803995609283447,1.094074010848999,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,6,0.7370808124542236,0.8873958587646484,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,7,0.775892972946167,1.0215554237365723,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,8,0.8260092735290527,0.9166159629821777,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,yices,9,0.7305517196655273,0.8946714401245117,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,1,3.372093915939331,3.2214200496673584,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,10,2.5979223251342773,2.8111765384674072,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,2,2.577970504760742,2.79567289352417,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,3,2.5840888023376465,2.7880332469940186,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,4,2.981189250946045,3.352210760116577,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,5,2.751981496810913,2.964475393295288,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,6,2.612975597381592,2.842059850692749,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,7,2.8695528507232666,3.1728343963623047,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,8,2.6667957305908203,2.8571250438690186,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,BitVise,z3,9,2.5837442874908447,2.8049228191375732,1.0,1.0,1.0,67,859,67,859,67,859
BitVise,DropBear,cvc4,1,0.3751182556152344,0.5042917728424072,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,10,0.3584592342376709,0.501673698425293,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,2,0.35170578956604004,0.45786213874816895,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,3,0.4143564701080322,0.49190855026245117,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,4,0.4403088092803955,0.7040212154388428,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,5,0.357755184173584,0.46521496772766113,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,6,0.36728501319885254,0.48009204864501953,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,7,0.4210789203643799,0.5289733409881592,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,8,0.397932767868042,0.5572679042816162,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,cvc4,9,0.3956592082977295,0.5474169254302979,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,1,0.20659875869750977,0.3170144557952881,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,10,0.19321823120117188,0.2871894836425781,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,2,0.19778990745544434,0.34813523292541504,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,3,0.19131875038146973,0.29386019706726074,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,4,0.2903103828430176,0.7027091979980469,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,5,0.1939384937286377,0.35176634788513184,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,6,0.19725394248962402,0.375185489654541,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
