reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,1,0.5150165557861328,0.7215688228607178,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,2,0.49129748344421387,0.6765568256378174,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,3,0.7393989562988281,0.9005758762359619,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_Linux_Server,yices,1,0.558856725692749,0.7539324760437012,0.5328859060402684,0.5129198966408268,0.5544692737430168,56,716,58,685,73,1093
TCP_FreeBSD_Server,TCP_Linux_Server,yices,2,0.5420835018157959,0.8131694793701172,0.5328859060402684,0.5129198966408268,0.5544692737430168,56,716,58,685,73,1093
TCP_FreeBSD_Server,TCP_Linux_Server,yices,3,0.5338783264160156,0.7465167045593262,0.5328859060402684,0.5129198966408268,0.5544692737430168,56,716,58,685,73,1093
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,1,0.3785872459411621,0.5574758052825928,0.45461598138091547,0.5113438045375218,0.4092178770949721,56,716,39,495,68,996
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,2,0.35558104515075684,0.5081584453582764,0.45461598138091547,0.5113438045375218,0.4092178770949721,56,716,39,495,68,996
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,3,0.35750389099121094,0.4924447536468506,0.45461598138091547,0.5113438045375218,0.4092178770949721,56,716,39,495,68,996
TCP_Linux_Server,TCP_FreeBSD_Server,yices,1,0.6521351337432861,0.7878360748291016,0.520949720670391,0.499330655957162,0.5445255474452555,58,685,56,716,70,1059
TCP_Linux_Server,TCP_FreeBSD_Server,yices,2,0.5517768859863281,0.8334524631500244,0.520949720670391,0.499330655957162,0.5445255474452555,58,685,56,716,70,1059
TCP_Linux_Server,TCP_FreeBSD_Server,yices,3,0.5266885757446289,0.77559494972229,0.520949720670391,0.499330655957162,0.5445255474452555,58,685,56,716,70,1059
TCP_Linux_Server,TCP_Linux_Server,yices,1,0.6084134578704834,0.7569534778594971,0.9492753623188406,0.9424460431654677,0.9562043795620438,58,685,58,685,59,725
TCP_Linux_Server,TCP_Linux_Server,yices,2,0.5714526176452637,0.7601194381713867,0.9492753623188406,0.9424460431654677,0.9562043795620438,58,685,58,685,59,725
TCP_Linux_Server,TCP_Linux_Server,yices,3,0.5315084457397461,0.7499845027923584,0.9492753623188406,0.9424460431654677,0.9562043795620438,58,685,58,685,59,725
TCP_Linux_Server,TCP_Windows8_Server,yices,1,0.38857340812683105,0.6342222690582275,0.574712643678161,0.6566604127579737,0.5109489051094891,58,685,39,495,59,868
TCP_Linux_Server,TCP_Windows8_Server,yices,2,0.39115047454833984,0.5314798355102539,0.574712643678161,0.6566604127579737,0.5109489051094891,58,685,39,495,59,868
TCP_Linux_Server,TCP_Windows8_Server,yices,3,0.35907649993896484,0.5323793888092041,0.574712643678161,0.6566604127579737,0.5109489051094891,58,685,39,495,59,868
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,1,0.36820077896118164,0.6646347045898438,0.47980613893376406,0.3997308209959623,0.6,39,495,56,716,62,941
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,2,0.3671438694000244,0.5689136981964111,0.47980613893376406,0.3997308209959623,0.6,39,495,56,716,62,941
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,3,0.3967437744140625,0.5128757953643799,0.47980613893376406,0.3997308209959623,0.6,39,495,56,716,62,941
TCP_Windows8_Server,TCP_Linux_Server,yices,1,0.39266347885131836,0.5551316738128662,0.5252692626346314,0.4452247191011236,0.6404040404040404,39,495,58,685,63,890
TCP_Windows8_Server,TCP_Linux_Server,yices,2,0.3902709484100342,0.5775461196899414,0.5252692626346314,0.4452247191011236,0.6404040404040404,39,495,58,685,63,890
TCP_Windows8_Server,TCP_Linux_Server,yices,3,0.4257962703704834,0.5646624565124512,0.5252692626346314,0.4452247191011236,0.6404040404040404,39,495,58,685,63,890
TCP_Windows8_Server,TCP_Windows8_Server,yices,1,0.2524373531341553,0.3540053367614746,1.0,1.0,1.0,39,495,39,495,39,495
TCP_Windows8_Server,TCP_Windows8_Server,yices,2,0.2545938491821289,0.5369882583618164,1.0,1.0,1.0,39,495,39,495,39,495
TCP_Windows8_Server,TCP_Windows8_Server,yices,3,0.2504589557647705,0.361652135848999,1.0,1.0,1.0,39,495,39,495,39,495
